Date,BNB_price,WBTC_price,WETH_price,UNI_price,AAVE_price,MKR_price,SNX_price,COMP_price,fear_index,aum,net_flow,DPI_price,Umichigan_survey,ISM_Manufacturing,SPX,NASDAQ,Inflation_CPI,Inflation_PCE,10yr_bond,Fed_funds_rate,2yr_bond,Inflations_expectations,Inflation_surprises,Economic_surprises,Hourly_earnings,MS_Market_Sentiment,VIX,SOFR
2020-10-13,30.94807638888878,11451.249458333325,382.4171250000005,3.403256944444414,51.13655172413805,581.7731736111133,4.537298611111141,115.62870833333332,1.0,13413076.119253865,314475.05190304096,90.66755603367156,80.4,55.4,3511.93,11863.9,0.2,0.2,0.73,0.25,0.14,2.98,23.97,0.79,4.8,0.96,26.07,0.09
2020-10-14,30.81286805555553,11417.497652777767,380.6168194444453,3.256041666666663,52.657986111111214,578.3524722222243,4.451809027777899,111.03114583333296,0.0,14039166.2702642,729329.6792116317,90.3290640067813,80.4,55.4,3488.67,11768.73,0.2,0.2,0.73,0.25,0.14,2.98,23.97,0.79,4.8,0.97,26.4,0.09
2020-10-15,31.05179166666659,11418.630604166628,377.0877847222219,3.056166666666663,47.81548611111123,564.5978541666648,4.150760416666645,107.24787499999968,1.0,14293954.949654097,861171.9629509168,86.28797610793355,80.4,55.4,3483.34,11713.87,0.2,0.2,0.73,0.25,0.14,2.98,23.97,0.83,4.8,0.93,26.97,0.1
2020-10-16,30.483722222222244,11361.884715277753,369.9307500000005,3.139777777777756,41.63878472222203,548.2520763888908,3.987229166666739,103.69946527777756,0.0,13884925.199697455,344120.7136204679,81.49906876366497,80.4,55.4,3483.81,11671.56,0.2,0.2,0.75,0.25,0.14,2.98,23.97,0.85,4.8,0.87,27.41,0.09
2020-10-17,30.27744444444457,11349.527902777778,367.7990347222212,3.0474236111111463,41.18576388888881,552.8228958333333,3.938791666666552,103.8072569444449,1.0,13584918.718036857,-30418.516126751787,80.04027330389036,80.4,55.4,3483.81,11671.56,0.2,0.2,0.75,0.25,0.14,2.98,23.97,0.85,4.8,0.87,27.41,0.09
2020-10-18,30.64988194444452,11443.123826388895,373.4904027777773,3.1496736111111527,40.33965277777777,564.4625625000006,3.945746527777819,105.4480833333334,1.0,13973807.525144003,120342.65543729144,82.02955530598132,80.4,55.4,3483.81,11671.56,0.2,0.2,0.75,0.25,0.14,2.98,23.97,0.85,4.8,0.87,27.41,0.09
2020-10-19,30.17027083333337,11582.906736111094,377.9452916666663,3.1995555555555213,38.86826388888869,573.3966805555574,3.849402777777732,103.59226388888924,1.0,14067977.272138594,175225.32633895054,81.09448616748365,80.4,55.4,3426.92,11478.88,0.2,0.2,0.77,0.25,0.15,2.98,23.97,0.84,4.8,0.76,29.18,0.09
2020-10-20,29.32156944444449,11874.28149999994,373.93271527777904,2.999312500000031,34.36815972222223,563.7317847222216,3.5675486111111128,96.50644444444426,1.0,13649684.12261318,574868.6578319352,75.64367034222633,80.4,55.4,3443.12,11516.49,0.2,0.2,0.79,0.25,0.14,2.98,23.97,0.83,4.8,0.7,29.35,0.08
2020-10-21,29.65736805555564,12473.122555555528,384.5852500000004,2.9774791666666367,34.59802083333336,563.7187708333307,3.615326388888878,96.74997916666676,1.0,13947301.750460396,184435.0068904592,76.33682258841546,80.4,55.4,3435.56,11484.69,0.2,0.2,0.82,0.25,0.15,2.98,23.97,0.83,4.8,0.65,28.65,0.07
2020-10-22,30.608569444444548,12931.342854166704,406.47311111111145,3.026909722222206,36.21538194444451,588.428555555555,3.776527777777704,99.03480555555556,1.0,14894930.22440794,306207.8338646367,78.98347371255188,80.4,55.4,3453.49,11506.01,0.2,0.2,0.86,0.25,0.15,2.98,23.97,0.85,4.8,0.63,28.11,0.07
2020-10-23,30.713874999999977,12933.378256944425,412.812111111111,3.0250486111111363,39.875208333333255,594.6706180555558,3.8158611111111487,103.5826180555556,1.0,14589117.18702126,-354322.4109388376,79.92078767437059,80.4,55.4,3465.39,11548.28,0.2,0.2,0.84,0.25,0.16,2.98,23.97,0.85,4.8,0.66,27.55,0.08
2020-10-24,30.65644444444436,13024.216472222244,412.51698611111067,3.0090069444444856,40.6410763888889,596.7230763888881,3.806038194444515,105.02404166666705,1.0,15010016.95493635,149876.53709334714,81.32977932278278,80.4,55.4,3465.39,11548.28,0.2,0.2,0.84,0.25,0.16,2.98,23.97,0.85,4.8,0.66,27.55,0.08
2020-10-25,30.373437499999955,13054.102541666643,409.6145277777778,2.8997361111111,39.26159722222221,591.1621180555577,3.650562499999965,103.95147916666662,2.0,15297480.46586817,621915.2673673285,79.58228542186758,80.4,55.4,3465.39,11548.28,0.2,0.2,0.84,0.25,0.16,2.98,23.97,0.85,4.8,0.66,27.55,0.08
2020-10-26,30.75097916666656,13077.249361111097,401.506555555557,2.7545208333333586,37.632736111111,587.9149722222207,3.624656250000017,101.46542361111104,1.0,15162657.320582025,312678.04090376553,76.94828628145538,80.4,55.4,3400.97,11358.94,0.2,0.2,0.8,0.25,0.15,2.98,23.97,0.83,4.8,0.54,32.46,0.09
2020-10-27,31.619486111111232,13352.59151388891,399.8735902777779,2.8148263888888985,36.28709027777791,581.641083333332,3.549802083333325,108.48552777777738,1.0,15299450.486517342,339155.29377145175,76.62721853057499,80.4,55.4,3390.68,11431.35,0.2,0.2,0.77,0.25,0.15,2.98,23.97,0.84,4.8,0.44,33.35,0.09
2020-10-28,30.90925000000002,13438.061826388895,394.2260000000003,2.708159722222239,33.55438194444452,560.9437638888895,3.5031597222221933,113.01609027777788,1.0,15287552.321080362,594984.1659086016,73.09583210345892,80.4,55.4,3271.03,11004.87,0.2,0.2,0.77,0.25,0.15,2.98,23.97,0.87,4.8,0.23,40.28,0.08
2020-10-29,30.13683333333333,13322.72422222224,389.36650694444535,2.617798611111062,30.743069444444423,539.1302777777786,3.529701388888918,101.74897916666644,1.0,14961671.642507128,502976.0201856394,70.82419136507289,80.4,55.4,3310.11,11185.59,0.2,0.2,0.82,0.25,0.15,2.98,23.97,0.85,4.8,0.11,37.59,0.09
2020-10-30,28.62736111111106,13427.484145833314,382.6687500000015,2.3669583333333226,30.190076388888823,524.2411874999997,3.0997847222222394,92.94277777777788,1.0,14278328.385300493,255882.0568448864,65.09844251337054,80.4,55.4,3269.96,10911.59,0.2,0.2,0.87,0.25,0.15,2.98,23.97,0.87,4.8,0.09,38.02,0.09
