Date,token_a_amount
10-09-20,3.224687569
11-09-20,2.713692469
12-09-20,34.76698214
13-09-20,0.002001568
14-09-20,5794.881221
15-09-20,7029.765579
16-09-20,3724.631316
17-09-20,538.2150569
18-09-20,1088.296725
19-09-20,1116.987701
20-09-20,764.1373229
21-09-20,1199.40774
22-09-20,1120.939812
23-09-20,1205.320999
24-09-20,554.6295609
25-09-20,1268.745959
26-09-20,714.9695083
27-09-20,703.186704
28-09-20,1093.717009
29-09-20,520.8552971
30-09-20,396.833735
01-10-20,454.2793624
02-10-20,1540.931679
03-10-20,349.5182047
04-10-20,763.460773
05-10-20,467.4009487
06-10-20,4509.172786
07-10-20,29778.91573
08-10-20,43470.51314
09-10-20,100060.4089
10-10-20,23317.03472
11-10-20,15757.99373
12-10-20,8075.579982
13-10-20,5865.240742
14-10-20,5581.629425
15-10-20,6430.021359
16-10-20,4341.712775
17-10-20,4010.875556
18-10-20,2994.159639
19-10-20,2066.791206
20-10-20,7304.045715
21-10-20,9210.731454
22-10-20,7218.706053
23-10-20,6440.75867
24-10-20,1667.828246
25-10-20,11723.04472
26-10-20,1728.34073
27-10-20,4332.060686
28-10-20,9212.003853
29-10-20,6061.716504
30-10-20,13771.83175
31-10-20,1154.230789
01-11-20,3311.322002
02-11-20,4749.154908
03-11-20,5365.871601
04-11-20,6795.911885
05-11-20,10070.87849
06-11-20,13365.59969
07-11-20,22516.03012
08-11-20,12397.34736
09-11-20,13179.36142
10-11-20,21533.83421
11-11-20,9841.598575
12-11-20,24379.191
13-11-20,23900.51568
14-11-20,17174.47148
15-11-20,22572.42698
16-11-20,16949.37486
17-11-20,26451.31995
18-11-20,20967.63938
19-11-20,22419.55499
20-11-20,11351.06515
21-11-20,20269.50212
22-11-20,20386.02619
23-11-20,13855.79878
24-11-20,11874.0791
25-11-20,9853.748039
26-11-20,15207.61136
27-11-20,9569.39332
28-11-20,5055.501138
29-11-20,7242.495731
30-11-20,11189.90719
01-12-20,38185.35284
02-12-20,19942.58105
03-12-20,11811.84095
04-12-20,6995.34691
05-12-20,7207.68529
06-12-20,8129.062066
07-12-20,12140.19688
08-12-20,58208.52498
09-12-20,7553.13824
10-12-20,7568.494976
11-12-20,2736.884524
12-12-20,4693.570601
13-12-20,3295.156092
14-12-20,7486.192277
15-12-20,2490.234598
16-12-20,6550.858128
17-12-20,3460.973375
18-12-20,10106.3357
19-12-20,7305.865616
20-12-20,2453.588649
21-12-20,4373.909878
22-12-20,5717.43712
23-12-20,5050.107324
24-12-20,6654.853745
25-12-20,3933.461592
26-12-20,3369.692094
27-12-20,1985.601692
28-12-20,5115.720071
29-12-20,2498.637705
30-12-20,3993.036507
31-12-20,5570.668897
01-01-21,5148.475512
02-01-21,3043.303687
03-01-21,3163.609104
04-01-21,12742.27884
05-01-21,20092.45303
06-01-21,11224.33198
07-01-21,12035.27125
08-01-21,9896.237842
09-01-21,12249.91423
10-01-21,15936.39938
11-01-21,20732.82647
12-01-21,15839.75913
13-01-21,12593.46747
14-01-21,8835.041754
15-01-21,10118.37798
16-01-21,17913.12233
17-01-21,15726.99132
18-01-21,11290.36406
19-01-21,13492.86684
20-01-21,10144.20543
21-01-21,12818.79129
22-01-21,15092.72083
23-01-21,10966.23931
24-01-21,16587.35621
25-01-21,15712.11383
26-01-21,17688.93808
27-01-21,17697.8981
28-01-21,16339.43875
29-01-21,14500.03014
30-01-21,11764.86436
31-01-21,15131.75542
01-02-21,10476.67484
02-02-21,10543.79233
03-02-21,9912.575387
04-02-21,17730.52285
05-02-21,19279.45393
06-02-21,12278.21518
07-02-21,9976.184716
08-02-21,17176.45834
09-02-21,11452.30372
10-02-21,13374.06247
11-02-21,6445.587426
12-02-21,9278.083789
13-02-21,7256.936313
14-02-21,8013.9098
15-02-21,9423.484266
16-02-21,7651.497228
17-02-21,12081.63195
18-02-21,8675.232331
19-02-21,8059.523794
20-02-21,18062.44782
21-02-21,7312.294046
22-02-21,7485.883548
23-02-21,13172.30612
24-02-21,5699.153149
25-02-21,9534.299671
26-02-21,6532.197411
27-02-21,3784.380783
28-02-21,7759.380211
01-03-21,7708.824489
02-03-21,9558.011207
03-03-21,3835.236923
04-03-21,6426.50625
05-03-21,3729.307446
06-03-21,2113.798871
07-03-21,9352.665379
08-03-21,3837.735693
09-03-21,4271.102766
10-03-21,4704.114119
11-03-21,4822.588018
12-03-21,4105.921153
13-03-21,4719.674257
14-03-21,3166.649127
15-03-21,3810.319395
16-03-21,1603.600747
17-03-21,5854.225315
18-03-21,5655.522446
19-03-21,3946.585332
20-03-21,6399.447326
21-03-21,2722.739487
22-03-21,3032.228944
23-03-21,8307.296894
24-03-21,4404.439961
25-03-21,5136.03891
26-03-21,3715.409429
27-03-21,1165.357048
28-03-21,4498.203525
29-03-21,16521.99835
30-03-21,6805.197221
31-03-21,7880.645685
01-04-21,4330.721766
02-04-21,4465.950224
03-04-21,23021.54219
04-04-21,9161.858979
05-04-21,13681.81822
06-04-21,7660.048853
07-04-21,17470.05193
08-04-21,12071.35686
09-04-21,18587.35629
10-04-21,21066.90026
11-04-21,7525.615265
12-04-21,13506.95549
13-04-21,13233.19142
14-04-21,6734.465026
15-04-21,13800.36788
16-04-21,6880.077299
17-04-21,5662.195449
18-04-21,6801.796475
